Clasificación por programas;Explicación;Cap. 1;Cap. 2;Cap. 3;Cap. 4;Cap. 6;Cap. 7;Cap. 8;Cap. 9;Total (miles euros);Total (euros)
143A;Cooperación para el desarrollo;—;1.540,00;—;—;1.570,00;—;—;—;3.110,00;3.110.000,00
144B;Cooperación educativa exterior;656,11;1.088,37;1;178,64;106,29;—;8;—;2.038,41;2.038.410,00
322C;Enseñanzas universitarias;24.821,07;25.075,84;54,7;87.170,43;3.019,13;6.110,26;38,63;—;146.290,06;146.290.060,00
323M;Becas y ayudas a estudiantes;—;—;—;49.935,14;—;—;—;—;49.935,14;49.935.140,00
45DA;Digitalización y patrimonio natural;—;—;—;—;29.032,55;—;—;—;29.032,55;29.032.550,00
45DC;Restauración de ecosistemas;—;—;—;—;440;—;—;—;440,00;440.000,00
45ED;Adaptación de la costa al cambio climático;—;—;—;—;4.000,00;—;—;—;4.000,00;4.000.000,00
46OE;Infraestructuras digitales transfronterizas;—;—;—;—;—;100.000,00;—;—;100.000,00;100.000.000,00
46QA;Planes Complementarios con CCAA;—;—;—;—;27.654,66;32.600,00;—;—;60.254,66;60.254.660,00
46QB;Fortalecimiento de capacidades SECTI;—;—;—;—;71.230,39;4.600,00;—;—;75.830,39;75.830.390,00
46QC;Nuevos proyectos I+D+i y compra pública pre-comercial;—;66,39;—;1.069,49;441.431,65;—;—;—;442.567,53;442.567.530,00
46QD;Nueva carrera científica;—;52,6;—;2.983,00;215.974,40;—;—;—;219.010,00;219.010.000,00
46QE;Transferencia de conocimiento;—;—;—;—;268,01;41.680,00;—;—;41.948,01;41.948.010,00
46QF;Reforma capacidades – Salud;—;—;—;—;99.243,05;295.000,00;30.000,00;—;424.243,05;424.243.050,00
46QG;Reforma capacidades – Medioambiente;—;—;—;—;6.858,00;—;—;—;6.858,00;6.858.000,00
46QI;Reforma capacidades – Sector aeroespacial;—;—;—;—;40.000,00;200.000,00;—;—;240.000,00;240.000.000,00
46UD;Formación docente e investigadora;—;—;—;—;120.520,00;—;—;—;120.520,00;120.520.000,00
46UE;Mejora de infraestructuras digitales universitarias;—;—;—;—;8.530,00;—;—;—;8.530,00;8.530.000,00
461M;Dirección y Servicios Generales;43.661,52;9.095,18;—;—;4.850,59;—;20;—;57.627,29;57.627.290,00
463A;Investigación científica;506.196,27;232.424,99;1.461,18;33.488,02;305.369,16;136.424,98;328,27;—;1.215.692,87;1.215.692.870,00
463B;Fomento y coordinación de la investigación;17.282,04;29.918,91;301;210.726,51;913,14;899.470,69;1.857.484,56;—;3.016.096,85;3.016.096.850,00
465A;Investigación sanitaria;45.229,23;24.536,42;60;85.896,22;10.282,20;163.857,38;226,00;—;330.087,45;330.087.450,00
467C;Investigación tecnológica-industrial;8.968,21;8.082,65;255,00;17.476,39;3.172,28;511.231,05;938.270,00;—;1.487.455,58;1.487.455.580,00
467H;Investigación energética y medioambiental;59.677,91;27.025,51;1.139,36;554,20;24.572,25;2.197,00;128,00;—;115.294,23;115.294.230,00
TOTAL CONSOLIDADO;;706.492,36;358.906,86;3.272,24;485.425,55;596.634,19;3.019.627,41;3.026.503,46;—;8.196.862,07;8.196.862.070,00
000X;Transferencias y libramientos internos;—;—;—;730.590,58;—;2.188.930,81;4.163,97;1.627,64;2.925.313,00;2.925.313.000,00
TOTAL GENERAL;;706.492,36;358.906,86;3.272,24;1.216.016,13;596.634,19;5.208.558,22;3.030.667,43;1.627,64;11.122.175,07;11.122.175.070,00
