Clasif. por programas;Explicación;Estado;OO.AA.;Total (miles €);Total (€)
42LB;C12.I02 Competitividad y Sostenibilidad Industrial e I+D+i;1.000.000,00;—;1.000.000,00;1.000.000.000,00 €
42MA;C13.I01 Emprendimiento. Industria;3.000,00;—;3.000,00;3.000.000,00 €
421M;Dirección y Servicios Generales de Industria y Turismo;67.297,23;—;67.297,23;67.297.230,00 €
421N;Regulación y protección de la Propiedad Industrial;—;53.424,74;53.424,74;53.424.740,00 €
421O;Calidad y seguridad industrial;3.775,88;—;3.775,88;3.775.880,00 €
422B;Desarrollo industrial;334.350,81;—;334.350,81;334.350.810,00 €
422M;Reconversión y reindustrialización;652.774,86;—;652.774,86;652.774.860,00 €
43MA;C13.I01 Emprendimiento. PYMES;44.800,00;—;44.800,00;44.800.000,00 €
43MB;C13.I02 Crecimiento. PYMES;198.000,00;—;198.000,00;198.000.000,00 €
43MC;C13.I03 Digitalización e Innovación I. PYMES;65.000,00;—;65.000,00;65.000.000,00 €
43NA;C14.I01 Transformación del modelo turístico hacia la sostenibilidad;497.000,00;—;497.000,00;497.000.000,00 €
43NB;C14.I02 Digitalización e inteligencia para destinos y sector turístico;10.000,00;—;10.000,00;10.000.000,00 €
43NC;C14.I03 Estrategias de resiliencia turística para territorios extrapeninsulares;64.000,00;—;64.000,00;64.000.000,00 €
43ND;C14.I04 Actuaciones especiales en competitividad;197.400,00;11.000,00;208.400,00;208.400.000,00 €
432A;Coordinación y promoción del turismo;166.860,14;103.216,75;270.076,89;270.076.890,00 €
433M;Apoyo a la pequeña y mediana empresa;142.320,09;—;142.320,09;142.320.090,00 €
46LB;C12.I02 Competitividad y Sostenibilidad Industrial. I+D+i+Digitalización;2.898.670,00;—;2.898.670,00;2.898.670.000,00 €
46NB;C14.I02 Digitalización e inteligencia para destinos turísticos. I+D+i;42.000,00;—;42.000,00;42.000.000,00 €
46SC;C19.I03 Competencias digitales para el empleo. I+D+i;54.000,00;—;54.000,00;54.000.000,00 €
464B;Apoyo a la innovación tecnológica en defensa;1.601.150,14;—;1.601.150,14;1.601.150.140,00 €
467C;Investigación y desarrollo tecnológico-industrial;278.840,00;—;278.840,00;278.840.000,00 €
49LB;C12.I02 Competitividad y Sostenibilidad Industrial. Otras actuaciones;—;7.410,00;7.410,00;7.410.000,00 €
495C;Metrología;—;10.072,09;10.072,09;10.072.090,00 €
921U;Publicaciones;180,00;—;180,00;180.000,00 €
000X;Transferencias y libramientos internos;101.074,11;916,28;101.990,39;101.990.390,00 €
;;;Total consolidado (sin transferencias);8.506.542,73;8.506.542.730,00 €
;;;Transferencias internas;101.990,39;101.990.390,00 €
;;;Total general;8.608.533,12;8.608.533.120,00 €
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
