;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 33 MINISTERIO PARA LA TRANSFORMACIÓN DIGITAL Y DE LA FUNCIÓN PÚBLICA;
;Programa: 46UE C21.I05 Mejora de infraestructuras digitales, el equipamiento, las tecnologías, la docencia y la evaluación digitales universitarios;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;33.50;;Total;
7;TRANSFERENCIAS DE CAPITAL;10.000,00;;10.000,00;
74; A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;10.000,00;;10.000,00;
;TOTAL;10.000,00;;10.000,00;
;;



