Clasificación por programas;Explicación;Cap. 1;Cap. 2;Cap. 3;Cap. 4;Cap. 6;Cap. 7;Cap. 8;Cap. 9;Total (miles euros);Total (euros)
425A;Normativa y desarrollo energético;—;—;—;—;—;3.514.141,75;—;—;3.514.141,75;3.514.141.750,00
43MD;C13.I04 Apoyo al Comercio;—;734,39;—;—;900;121.515,61;—;—;123.150,00;123.150.000,00
43ME;C13.I05 Internacionalización. PYMES;—;1.000,00;—;2.255,00;2.350,00;66.745,00;970.000,00;—;1.042.350,00;1.042.350.000,00
431A;Promoción comercial e internacionalización de la empresa;78.948,07;15.381,06;116,93;16.641,77;1.400,00;66.816,29;230.146,50;—;409.450,62;409.450.620,00
431N;Ordenación del comercio exterior;3.842,23;794,1;—;4.776,12;420;—;—;—;9.832,45;9.832.450,00
431O;Ordenación y modernización de estructuras comerciales;7.085,44;652,13;—;134;5;2.727,50;—;—;10.604,07;10.604.070,00
491N;Servicio postal universal;—;—;—;—;—;110.000,00;—;—;110.000,00;110.000.000,00
492M;Defensa de la competencia y regulación de sectores productivos;35.947,14;21.216,49;298,5;690,38;4.079,74;—;60,4;—;62.292,65;62.292.650,00
493M;Dirección, control y gestión de seguros;11.044,95;2.626,07;—;1.999,93;3.267,47;—;—;—;18.938,42;18.938.420,00
493O;Regulación contable y auditorías;5.679,20;3.768,50;0,6;416,95;629,06;—;20;—;10.514,31;10.514.310,00
92KA;C11.I01 Modernización de la AGE – Servicios generales;—;—;—;—;—;2.606,83;—;—;2.606,83;2.606.830,00
923C;Elaboración y difusión estadística;121.426,15;29.454,40;36,31;518,58;38.793,65;2.312,46;247,62;—;192.789,17;192.789.170,00
923O;Gestión de la Deuda y Tesorería del Estado;8.937,94;35.623,07;15.060,44;722,22;846,36;—;1;1;61.192,03;61.192.030,00
923P;Relaciones con Instituciones Financieras Multilaterales;821,28;—;—;382.464,54;—;—;136.548,84;—;519.834,66;519.834.660,00
923Q;Dirección y Servicios Generales de Economía, Comercio y Empresa;42.573,50;20.869,59;17,65;1.000,00;5.271,15;—;191,32;—;69.923,21;69.923.210,00
931M;Previsión y política económica;5.916,53;820,1;12.630,00;2.274,50;204,49;372,07;1;—;22.218,69;22.218.690,00
TOTAL CONSOLIDADO;;322.222,43;132.939,90;28.160,43;523.893,99;60.773,75;3.774.630,68;1.337.216,68;1;6.179.838,86;6.179.838.860,00
000X;Transferencias y libramientos internos;—;—;—;194.149,65;—;27.966,83;—;—;222.116,48;222.116.480,00
TOTAL GENERAL;;322.222,43;132.939,90;28.160,43;718.043,64;60.773,75;3.802.597,51;1.337.216,68;1;6.401.955,34;6.401.955.340,00
